order,name,description
1,Sabbath (Shabbat),"The weekly day of rest, which begins at sundown on Friday and ends at nightfall on Saturday."
2,Rosh Hashanah,"Jewish New Year, a two-day holiday that marks the beginning of the High Holy Days."
3,Yom Kippur,"The Day of Atonement, the holiest day of the Jewish year, which is observed through fasting, prayer, and repentance."
4,Sukkot,"The Festival of Tabernacles, a week-long holiday commemorating the Israelites' journey through the desert and God's protection"
5,Simchat Torah,The joyous holiday that marks the conclusion of the annual Torah reading cycle and the beginning of a new one.
6,Hanukkah,"The Festival of Lights, an eight-day holiday commemorating the miracle of the oil in the rededicated Second Temple in Jerusalem."
7,Purim,"The festive holiday that celebrates the salvation of the Jewish people from the wicked Haman, as told in the Book of Esther."
8,Passover (Pesach),The week-long holiday that commemorates the Exodus of the Israelites from Egypt.
9,Shavuot,"The Festival of Weeks, which marks the giving of the Torah at Mount Sinai."
10,Minor holidays and fast days,"Other holidays and fast days, such as Tisha B'Av (commemorating the destruction of the First and Second Temples), Lag BaOmer (celebrating the end of a plague that affected Rabbi Akiva's students), and Tu B'Shevat (New Year for Trees).  "
